,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
19116,198301,1983,0,47,1.0,14.0,220.0,1.0,10,48.0,9,0,0.0,2
19117,198402,1984,1,49,1.0,12.0,50.0,0.0,10,48.0,9,0,0.0,0
19118,199101,1991,0,65,1.0,6.0,70.0,1.0,10,49.0,9,0,0.0,0
19119,199104,6954,0,36,1.0,12.0,147.0,1.0,10,60.0,9,0,0.0,1
19120,199105,5101,0,41,1.0,16.0,160.0,1.0,10,44.0,9,0,0.0,2
19121,199201,1992,0,50,1.0,12.0,70.0,0.0,10,60.0,9,0,0.0,0
19122,199402,5171,0,32,1.0,14.0,150.0,1.0,10,77.0,9,0,0.0,1
19123,199603,5325,0,30,1.0,14.0,170.0,0.0,10,53.0,9,0,0.0,0
19124,199802,1998,1,66,0.0,6.0,40.0,0.0,10,24.0,9,0,0.0,0
19125,200102,5173,1,33,1.0,16.0,100.0,1.0,20,40.0,9,1,46.0,1
19126,200602,5174,0,31,0.0,12.0,100.0,0.0,10,10.0,9,0,0.0,0
19127,201001,2010,0,45,1.0,9.0,180.0,1.0,10,48.0,9,1,,0
19129,201101,2011,0,36,1.0,16.0,700.0,1.0,10,45.0,9,0,0.0,1
19130,201301,2013,0,41,1.0,12.0,150.0,1.0,10,66.0,9,0,0.0,2
19131,201502,6188,0,36,1.0,14.0,247.0,1.0,10,40.0,9,0,0.0,1
19132,201601,2016,0,63,1.0,14.0,150.0,1.0,10,44.0,9,0,0.0,0
19133,201604,6101,1,34,,16.0,220.0,1.0,10,49.0,9,0,0.0,1
19134,201901,2019,0,56,1.0,12.0,248.0,1.0,10,44.0,9,0,0.0,0
19135,202001,2020,0,48,,12.0,250.0,1.0,10,54.0,9,0,0.0,1
19136,202102,2021,1,47,1.0,12.0,120.0,1.0,20,47.0,9,0,0.0,1
19137,202301,2023,0,47,0.0,9.0,140.0,1.0,10,60.0,9,0,0.0,1
19138,202402,5390,1,49,1.0,6.0,70.0,1.0,10,60.0,9,1,48.0,1
19140,202604,5895,0,33,1.0,14.0,160.0,1.0,10,64.0,9,0,0.0,0
19141,202703,6589,1,35,1.0,12.0,297.0,1.0,20,41.0,9,0,0.0,0
19142,203301,2033,0,43,1.0,16.0,170.0,1.0,10,48.0,9,0,0.0,2
19143,203601,2036,0,55,1.0,9.0,180.0,1.0,10,40.0,9,0,0.0,0
19144,204703,6827,0,24,1.0,14.0,250.0,0.0,10,72.0,9,0,0.0,0
19145,205601,2056,0,36,1.0,16.0,700.0,1.0,10,48.0,9,0,0.0,1
19149,206501,2065,1,44,0.0,12.0,150.0,0.0,10,65.0,9,0,0.0,0
19150,206701,2067,0,48,1.0,9.0,120.0,1.0,10,60.0,9,1,57.0,0
19151,206702,2067,1,46,1.0,9.0,100.0,1.0,20,57.0,9,1,60.0,0
19152,206802,2068,1,46,1.0,14.0,80.0,1.0,20,47.0,9,0,0.0,2
19153,206901,2069,0,44,1.0,12.0,145.0,1.0,10,6.0,9,0,0.0,2
19154,207001,2070,0,49,1.0,16.0,250.0,1.0,10,48.0,9,0,0.0,1
19155,207101,2071,0,45,0.0,16.0,200.0,1.0,10,60.0,9,0,0.0,1
19156,207202,2072,1,40,1.0,16.0,285.0,1.0,20,42.0,9,0,0.0,2
19157,207501,2075,0,67,1.0,9.0,82.0,1.0,10,64.0,9,0,0.0,0
19158,207601,2076,0,45,1.0,12.0,280.0,1.0,10,48.0,9,0,0.0,0
19160,208501,2085,0,67,1.0,9.0,64.0,1.0,10,84.0,9,0,0.0,0
19161,208601,2086,0,57,1.0,12.0,220.0,0.0,10,48.0,9,0,0.0,0
19162,209003,6190,0,34,1.0,14.0,200.0,0.0,10,77.0,9,0,0.0,0
19163,209102,2091,1,64,0.0,0.0,30.0,1.0,20,40.0,9,0,0.0,0
19164,209103,5005,0,34,0.0,9.0,100.0,1.0,10,36.0,9,0,0.0,2
19165,209304,6066,0,33,1.0,16.0,270.0,1.0,10,40.0,9,0,0.0,1
19166,209701,2097,0,43,1.0,16.0,600.0,1.0,10,50.0,9,1,48.0,2
19167,209702,2097,1,40,1.0,16.0,210.0,1.0,20,48.0,9,1,50.0,2
19168,209804,5179,0,34,1.0,12.0,130.0,1.0,10,54.0,9,0,0.0,1
19169,210001,2100,0,60,0.0,9.0,100.0,1.0,10,50.0,9,1,78.0,0
19170,210002,2100,1,51,0.0,9.0,90.0,1.0,20,78.0,9,1,50.0,0
19171,210101,2101,0,32,1.0,12.0,170.0,1.0,10,54.0,9,1,40.0,1
19172,210103,2101,1,27,1.0,12.0,120.0,1.0,20,40.0,9,1,54.0,1
19174,210302,2103,0,34,0.0,14.0,150.0,1.0,10,40.0,9,0,0.0,2
19175,210701,2107,0,47,1.0,16.0,160.0,1.0,10,48.0,9,1,54.0,0
19176,210702,2107,1,48,0.0,14.0,75.0,1.0,20,54.0,9,1,48.0,0
19178,211201,2112,0,62,1.0,12.0,73.0,1.0,10,82.0,9,1,50.0,0
19179,211202,2112,1,59,1.0,6.0,70.0,1.0,20,50.0,9,1,82.0,0
19180,211203,6751,0,35,1.0,16.0,200.0,1.0,10,48.0,9,0,0.0,0
19181,211301,2113,0,39,1.0,12.0,197.0,1.0,10,60.0,9,0,0.0,2
19182,211503,6470,1,33,1.0,16.0,150.0,1.0,20,40.0,9,1,48.0,0
19183,211602,2116,1,47,0.0,6.0,78.0,1.0,20,42.0,9,0,0.0,0
19184,212801,2128,0,48,1.0,14.0,400.0,1.0,10,40.0,9,0,0.0,1
19185,212901,2129,0,47,1.0,14.0,300.0,1.0,10,40.0,9,0,0.0,1
19186,213001,2130,0,54,1.0,16.0,460.0,1.0,10,45.0,9,0,0.0,0
19187,213203,2132,1,55,1.0,12.0,300.0,1.0,20,84.0,9,0,0.0,0
19189,213802,6472,1,50,1.0,6.0,80.0,0.0,10,54.0,9,0,0.0,0
19190,213803,6936,0,26,1.0,14.0,120.0,0.0,10,52.0,9,0,0.0,0
19191,213902,2139,1,50,1.0,6.0,100.0,0.0,10,54.0,9,0,0.0,0
19192,214001,2140,0,49,1.0,9.0,130.0,1.0,10,60.0,9,1,44.0,2
19193,214002,2140,1,37,1.0,12.0,60.0,1.0,20,44.0,9,1,60.0,2
19194,214201,2142,0,50,1.0,14.0,150.0,1.0,10,50.0,9,0,0.0,1
19195,214401,2144,0,53,1.0,12.0,164.0,1.0,10,48.0,9,1,48.0,0
19196,214402,2144,1,52,1.0,12.0,59.0,1.0,20,48.0,9,1,48.0,0
19197,214701,6191,0,46,0.0,16.0,200.0,1.0,10,40.0,9,0,0.0,2
19198,214901,2149,0,40,1.0,9.0,149.0,1.0,10,56.0,9,0,0.0,3
19199,215101,2151,0,49,1.0,12.0,200.0,1.0,10,54.0,9,0,0.0,0
19200,215301,2153,0,38,1.0,12.0,200.0,1.0,10,60.0,9,0,0.0,3
19202,215402,2154,1,44,0.0,6.0,80.0,1.0,20,48.0,9,1,,1
19203,215603,2156,1,47,1.0,9.0,92.0,1.0,20,48.0,9,0,0.0,0
19204,216102,2161,1,51,1.0,6.0,53.0,1.0,20,24.0,9,0,0.0,0
19205,216203,5322,0,40,1.0,9.0,80.0,1.0,10,48.0,9,0,0.0,1
19206,216301,2163,0,54,1.0,9.0,150.0,1.0,10,48.0,9,1,44.0,0
19207,216302,2163,1,46,0.0,6.0,70.0,1.0,20,44.0,9,1,48.0,0
19208,216401,2164,0,38,1.0,12.0,150.0,1.0,10,60.0,9,0,0.0,2
19209,217104,5445,0,34,1.0,16.0,420.0,1.0,10,60.0,9,0,0.0,1
19210,217201,2172,1,61,0.0,12.0,70.0,0.0,10,48.0,9,0,0.0,0
19211,217401,2174,0,50,1.0,9.0,200.0,1.0,10,44.0,9,0,0.0,1
19212,217901,2179,0,40,1.0,12.0,160.0,1.0,10,48.0,9,0,0.0,2
19213,218002,5102,0,32,1.0,14.0,175.0,1.0,10,40.0,9,0,0.0,2
19214,218301,2183,0,49,1.0,12.0,200.0,0.0,10,46.0,9,0,0.0,0
19215,218502,2185,1,47,0.0,12.0,100.0,1.0,20,54.0,9,0,0.0,0
19219,219304,5483,1,32,1.0,16.0,150.0,1.0,20,40.0,9,1,44.0,1
19220,219401,2194,0,43,1.0,16.0,150.0,1.0,10,44.0,9,1,,2
19222,219701,2197,0,36,1.0,16.0,330.0,1.0,10,48.0,9,0,0.0,2
19224,220101,2201,0,63,1.0,12.0,100.0,1.0,10,58.0,9,0,0.0,0
19225,220402,2204,1,40,1.0,12.0,70.0,1.0,20,48.0,9,0,0.0,1
19226,220704,5061,1,38,1.0,16.0,300.0,1.0,20,46.0,9,0,0.0,1
19227,220706,6013,0,37,1.0,18.0,280.0,1.0,10,40.0,9,1,40.0,2
19228,220707,6013,1,35,1.0,16.0,280.0,1.0,20,40.0,9,1,40.0,2
19229,221001,2210,0,56,1.0,16.0,380.0,1.0,10,40.0,9,1,40.0,0
19230,221002,2210,1,50,0.0,12.0,250.0,1.0,20,40.0,9,1,40.0,0
19231,221101,2211,0,48,1.0,9.0,200.0,1.0,10,48.0,9,0,0.0,0
19232,221103,6046,1,28,1.0,12.0,110.0,1.0,20,48.0,9,1,44.0,1
19233,221303,5180,1,33,1.0,16.0,250.0,1.0,20,44.0,9,1,40.0,2
19234,221601,2216,0,55,1.0,12.0,130.0,1.0,10,48.0,9,1,48.0,0
19235,221602,2216,1,53,1.0,9.0,70.0,1.0,20,48.0,9,1,48.0,0
19236,221604,6004,0,31,1.0,14.0,250.0,1.0,10,54.0,9,0,0.0,1
19237,221901,2219,0,44,1.0,9.0,180.0,1.0,10,84.0,9,1,45.0,2
19238,221902,2219,1,37,1.0,12.0,70.0,1.0,20,45.0,9,1,84.0,2
19239,222001,2220,0,52,1.0,9.0,320.0,1.0,10,63.0,9,0,0.0,0
19241,222401,2224,1,54,0.0,9.0,100.0,1.0,10,48.0,9,1,72.0,0
19242,222402,2224,0,57,1.0,12.0,100.0,1.0,20,72.0,9,1,48.0,0
19243,222501,2225,0,53,0.0,14.0,100.0,1.0,10,72.0,9,0,0.0,0
19244,222503,5393,1,26,1.0,12.0,160.0,0.0,10,44.0,9,0,0.0,0
19245,222504,5661,1,24,1.0,12.0,140.0,0.0,10,52.0,9,0,0.0,0
19246,222603,5063,0,44,1.0,14.0,120.0,1.0,10,72.0,9,0,0.0,2
19248,222901,2229,0,40,1.0,14.0,200.0,0.0,10,48.0,9,0,0.0,0
19249,223202,2232,1,43,1.0,14.0,170.0,1.0,20,60.0,9,0,0.0,2
19250,223403,2234,0,23,1.0,16.0,70.0,0.0,10,44.0,9,0,0.0,0
19251,224002,2240,1,55,1.0,12.0,185.0,1.0,20,44.0,9,0,0.0,0
19252,224004,6192,0,33,1.0,12.0,200.0,1.0,10,44.0,9,0,0.0,1
19253,224201,2242,0,50,1.0,14.0,260.0,1.0,10,48.0,9,0,0.0,0
19254,224403,6527,0,36,1.0,12.0,220.0,1.0,10,44.0,9,0,0.0,1
19255,224801,2248,0,38,1.0,14.0,350.0,1.0,10,40.0,9,0,0.0,2
19258,225002,2250,1,55,1.0,6.0,150.0,1.0,20,54.0,9,1,,0
19259,225003,5900,0,30,1.0,14.0,164.0,0.0,10,35.0,9,0,0.0,0
19260,225401,2254,0,63,1.0,12.0,90.0,0.0,10,30.0,9,0,0.0,0
19261,225601,2256,0,27,1.0,16.0,180.0,0.0,10,44.0,9,0,0.0,0
19262,225803,6264,0,29,1.0,14.0,160.0,1.0,10,48.0,9,1,40.0,0
19263,226401,2264,0,37,1.0,12.0,130.0,1.0,10,54.0,9,1,65.0,3
19264,226402,2264,1,38,0.0,12.0,100.0,1.0,20,65.0,9,1,54.0,3
19265,226801,2268,0,36,1.0,12.0,350.0,1.0,10,50.0,9,0,0.0,1
19266,227001,2270,0,35,1.0,12.0,180.0,0.0,10,54.0,9,0,0.0,0
19268,227102,2271,1,46,1.0,9.0,120.0,1.0,20,54.0,9,1,,0
19269,227303,5181,0,36,0.0,16.0,80.0,1.0,10,40.0,9,0,0.0,2
19271,228002,2280,1,45,1.0,12.0,185.0,1.0,20,40.0,9,0,0.0,2
19272,228101,2281,0,44,1.0,16.0,300.0,1.0,10,75.0,9,0,0.0,1
19273,228401,2284,0,44,1.0,16.0,150.0,1.0,10,72.0,9,1,44.0,2
19274,228402,2284,1,40,1.0,14.0,160.0,1.0,20,44.0,9,1,72.0,2
19275,228701,2287,0,38,1.0,14.0,300.0,1.0,10,40.0,9,0,0.0,1
19276,228703,6194,1,31,0.0,12.0,130.0,1.0,20,48.0,9,0,0.0,2
19277,229003,6376,0,34,1.0,14.0,216.0,0.0,10,44.0,9,0,0.0,0
19278,229103,5183,1,27,1.0,12.0,70.0,1.0,10,44.0,9,0,0.0,2
19279,229201,2292,0,38,0.0,12.0,200.0,1.0,10,48.0,9,0,0.0,2
19280,229302,2293,1,44,1.0,6.0,100.0,1.0,20,40.0,9,0,0.0,0
19281,229501,2295,0,41,1.0,9.0,160.0,0.0,10,90.0,9,0,0.0,0
19282,229803,6059,1,34,1.0,12.0,160.0,1.0,20,44.0,9,0,0.0,2
19283,229901,2299,0,53,1.0,6.0,100.0,1.0,10,96.0,9,1,52.0,0
19284,229902,2299,1,46,1.0,6.0,100.0,1.0,20,52.0,9,1,96.0,0
19285,229903,6850,1,28,1.0,16.0,130.0,1.0,20,46.0,9,1,52.0,0
19286,230302,2303,1,42,1.0,12.0,100.0,1.0,20,54.0,9,0,0.0,2
19288,230402,2304,1,47,0.0,12.0,60.0,1.0,20,24.0,9,1,,0
19289,230703,6421,0,29,0.0,14.0,115.0,0.0,10,44.0,9,0,0.0,0
19290,230704,6821,0,27,1.0,14.0,170.0,0.0,10,60.0,9,0,0.0,0
19291,230801,2308,0,55,0.0,9.0,100.0,1.0,10,48.0,9,0,0.0,0
19292,230901,2309,0,47,1.0,6.0,135.0,1.0,10,63.0,9,1,56.0,1
19293,230902,2309,1,44,0.0,9.0,60.0,1.0,20,56.0,9,1,63.0,1
19295,231002,2310,1,54,0.0,9.0,100.0,1.0,20,40.0,9,1,,0
19296,231103,2311,0,42,0.0,9.0,200.0,1.0,10,48.0,9,0,0.0,1
19298,231401,2314,0,29,1.0,12.0,110.0,0.0,10,54.0,9,0,0.0,0
19299,231402,6266,0,26,1.0,14.0,145.0,1.0,10,40.0,9,1,46.0,0
19301,231601,2316,0,41,1.0,14.0,150.0,1.0,10,44.0,9,1,68.0,2
19302,231602,2316,1,35,1.0,12.0,100.0,1.0,20,68.0,9,1,44.0,2
19303,231702,2317,1,39,0.0,12.0,50.0,1.0,20,45.0,9,0,0.0,2
19304,231801,2318,0,38,1.0,12.0,120.0,1.0,10,72.0,9,1,54.0,3
19305,231802,2318,1,35,0.0,12.0,90.0,1.0,20,54.0,9,1,72.0,3
19306,231901,2319,0,44,0.0,12.0,74.0,0.0,10,40.0,9,0,0.0,3
19307,232001,2320,0,48,1.0,9.0,108.0,1.0,10,96.0,9,0,0.0,0
19308,232101,2321,0,45,1.0,16.0,160.0,1.0,10,44.0,9,0,0.0,2
19309,232304,6475,1,27,1.0,14.0,130.0,1.0,20,40.0,9,0,0.0,1
19310,232703,6126,0,36,1.0,14.0,130.0,1.0,10,44.0,9,0,0.0,1
19311,232802,6278,1,39,0.0,12.0,83.0,0.0,10,52.0,9,0,0.0,2
19312,232901,2329,0,39,1.0,12.0,190.0,1.0,10,64.0,9,1,62.0,2
19313,232902,2329,1,36,0.0,9.0,100.0,1.0,20,62.0,9,1,64.0,2
19314,233002,2330,1,54,1.0,12.0,90.0,1.0,20,72.0,9,0,0.0,0
19315,233003,5903,1,25,0.0,12.0,30.0,0.0,10,30.0,9,0,0.0,0
19317,234001,2340,0,32,1.0,14.0,160.0,1.0,10,40.0,9,0,0.0,2
19320,234601,2346,0,67,1.0,12.0,93.0,1.0,10,84.0,9,0,0.0,0
19321,234604,6196,0,32,1.0,16.0,250.0,1.0,10,46.0,9,1,44.0,1
19322,235101,2351,0,45,1.0,12.0,250.0,1.0,10,48.0,9,1,30.0,2
19323,235102,2351,1,43,0.0,12.0,70.0,1.0,20,30.0,9,1,48.0,2
19324,235603,2356,0,31,1.0,16.0,250.0,0.0,10,44.0,9,0,0.0,0
19325,235901,2359,1,36,1.0,12.0,130.0,1.0,10,40.0,9,0,0.0,0
19326,236003,5394,0,35,1.0,12.0,200.0,1.0,10,60.0,9,0,0.0,2
19328,236301,2363,0,50,1.0,6.0,250.0,1.0,10,49.0,9,0,0.0,2
19329,236401,2364,0,55,1.0,16.0,230.0,1.0,10,40.0,9,1,,0
19331,236502,2365,0,50,0.0,6.0,150.0,1.0,10,24.0,9,0,0.0,0
19332,236701,2367,1,46,1.0,9.0,90.0,0.0,10,55.0,9,0,0.0,0
19334,236904,2369,0,31,1.0,16.0,200.0,1.0,10,40.0,9,0,0.0,0
19335,237104,5581,0,36,1.0,14.0,250.0,1.0,10,47.0,9,0,0.0,2
19336,237106,5906,1,30,1.0,16.0,246.0,1.0,10,42.0,9,1,63.0,1
19337,237203,6477,0,32,1.0,16.0,360.0,1.0,10,52.0,9,1,48.0,0
19339,237302,2373,1,48,0.0,12.0,55.0,1.0,20,44.0,9,1,,3
19340,237401,2374,0,35,1.0,12.0,175.0,1.0,10,45.0,9,0,0.0,2
19341,237501,2375,0,42,1.0,9.0,50.0,1.0,10,60.0,9,1,50.0,2
19342,237502,2375,1,45,1.0,9.0,50.0,1.0,20,50.0,9,1,60.0,2
19344,237801,2378,0,55,1.0,12.0,350.0,1.0,10,60.0,9,0,0.0,0
19345,238001,2380,0,57,1.0,12.0,310.0,1.0,10,45.0,9,0,0.0,0
19346,238004,6932,0,31,1.0,12.0,200.0,1.0,10,40.0,9,0,0.0,1
19348,238501,2385,0,40,1.0,12.0,150.0,1.0,10,48.0,9,0,0.0,1
19350,238801,2388,0,60,1.0,12.0,120.0,1.0,10,48.0,9,0,0.0,0
19351,238804,6840,0,29,1.0,12.0,110.0,1.0,10,54.0,9,1,44.0,0
19352,239103,6757,0,31,0.0,16.0,250.0,1.0,10,44.0,9,1,,1
19353,239201,2392,0,65,0.0,12.0,80.0,1.0,10,84.0,9,0,0.0,0
19354,239404,2394,0,34,1.0,12.0,200.0,1.0,10,52.0,9,0,0.0,3
19355,239701,2397,0,43,1.0,12.0,200.0,1.0,10,57.0,9,0,0.0,2
19356,239804,6823,1,29,1.0,12.0,230.0,1.0,20,41.0,9,1,44.0,2
19357,240801,2408,0,50,1.0,12.0,210.0,1.0,10,60.0,9,0,0.0,0
19358,241101,2411,0,34,1.0,16.0,140.0,0.0,10,40.0,9,0,0.0,0
19359,241203,2412,0,50,1.0,16.0,300.0,1.0,10,40.0,9,0,0.0,0
19361,241501,2415,1,51,0.0,9.0,100.0,0.0,10,40.0,9,0,0.0,0
19364,241901,2419,0,53,1.0,16.0,400.0,1.0,10,40.0,9,0,0.0,1
19365,242102,2421,0,58,0.0,9.0,67.0,1.0,10,72.0,9,1,71.0,0
19366,242103,2421,1,53,0.0,9.0,85.0,1.0,20,71.0,9,1,72.0,0
19367,242105,5909,1,28,1.0,14.0,130.0,1.0,20,40.0,9,1,48.0,2
19368,242106,6328,1,25,1.0,12.0,120.0,1.0,10,58.0,9,1,40.0,1
19369,242201,2422,0,45,0.0,9.0,110.0,1.0,10,40.0,9,1,,1
19371,242402,2424,1,49,0.0,12.0,120.0,1.0,20,75.0,9,0,0.0,1
19372,242507,5397,0,36,1.0,21.0,250.0,1.0,10,45.0,9,0,0.0,1
19373,242801,2428,0,48,1.0,14.0,250.0,1.0,10,50.0,9,0,0.0,3
19374,242901,2429,0,42,1.0,12.0,140.0,1.0,10,50.0,9,1,70.0,2
19375,242902,2429,1,42,0.0,12.0,120.0,1.0,20,70.0,9,1,50.0,2
19376,243201,2432,0,49,1.0,12.0,150.0,1.0,10,53.0,9,0,0.0,2
19377,243601,2436,0,54,0.0,12.0,120.0,1.0,10,60.0,9,0,0.0,0
19378,243801,2438,0,60,0.0,12.0,70.0,1.0,10,84.0,9,0,0.0,0
19379,243901,2439,0,46,1.0,12.0,200.0,1.0,10,70.0,9,1,62.0,2
19380,243902,2439,1,44,1.0,12.0,100.0,1.0,20,62.0,9,1,70.0,2
19382,244101,2441,0,56,1.0,12.0,240.0,1.0,10,72.0,9,0,0.0,0
19383,244201,2442,0,51,1.0,6.0,165.0,1.0,10,47.0,9,1,60.0,0
19384,244202,2442,1,48,1.0,12.0,80.0,1.0,20,60.0,9,1,47.0,0
19385,244301,2443,0,47,1.0,14.0,300.0,1.0,10,40.0,9,1,45.0,2
19386,244302,2443,1,41,1.0,12.0,200.0,1.0,20,45.0,9,1,40.0,2
19387,244701,6039,0,35,1.0,12.0,150.0,0.0,10,84.0,9,0,0.0,0
19388,244702,2447,1,37,1.0,12.0,125.0,0.0,10,55.0,9,0,0.0,2
19389,244902,2449,1,46,0.0,12.0,120.0,1.0,20,60.0,9,0,0.0,0
19390,245002,5060,0,36,1.0,12.0,170.0,1.0,10,50.0,9,0,0.0,1
19391,245009,2450,0,55,1.0,12.0,160.0,1.0,10,44.0,9,0,0.0,0
19392,245101,2451,0,51,1.0,12.0,130.0,1.0,10,72.0,9,1,48.0,0
19393,245102,2451,1,47,1.0,9.0,75.0,1.0,20,48.0,9,1,72.0,0
19395,245502,2455,1,39,1.0,12.0,120.0,1.0,20,40.0,9,0,0.0,2
19396,245701,2457,1,51,1.0,9.0,90.0,0.0,10,56.0,9,0,0.0,0
19397,245802,2458,1,50,1.0,6.0,60.0,1.0,20,44.0,9,0,0.0,0
19398,245902,2459,1,41,1.0,6.0,80.0,1.0,20,54.0,9,0,0.0,0
19399,245904,6837,1,21,1.0,14.0,100.0,0.0,10,44.0,9,0,0.0,0
19400,246003,5186,0,36,1.0,12.0,420.0,1.0,10,52.0,9,0,0.0,1
19401,246403,6118,1,38,0.0,21.0,450.0,1.0,20,40.0,9,1,44.0,2
19403,247001,2470,0,50,1.0,12.0,370.0,1.0,10,145.0,9,0,0.0,0
19404,247101,2471,0,57,0.0,6.0,135.0,1.0,10,56.0,9,0,0.0,0
19405,247301,2473,1,57,0.0,6.0,67.0,0.0,10,35.0,9,0,0.0,0
19406,248001,2480,0,33,1.0,18.0,280.0,1.0,10,21.0,9,0,0.0,2
19407,248201,2482,0,57,1.0,14.0,400.0,1.0,10,39.0,9,1,39.0,0
19408,248202,2482,1,58,1.0,14.0,300.0,1.0,20,39.0,9,1,39.0,0
19409,248203,6905,1,28,1.0,16.0,240.0,1.0,20,48.0,9,1,53.0,0
19410,248301,2483,0,60,0.0,9.0,85.0,1.0,10,60.0,9,1,40.0,0
19411,248302,2483,1,55,0.0,6.0,60.0,1.0,20,40.0,9,1,60.0,0
19412,248303,6125,0,31,1.0,16.0,220.0,1.0,10,45.0,9,1,43.0,1
19413,248401,2484,0,40,0.0,12.0,75.0,1.0,10,65.0,9,0,0.0,2
19414,248803,5338,0,34,1.0,16.0,304.0,0.0,10,55.0,9,0,0.0,0
19415,248901,2489,0,41,1.0,12.0,170.0,1.0,10,60.0,9,1,78.0,1
19416,248902,2489,1,40,0.0,12.0,130.0,1.0,20,78.0,9,1,60.0,1
19417,249101,2491,0,34,1.0,14.0,240.0,1.0,10,50.0,9,1,45.0,1
19418,249103,2491,1,24,1.0,12.0,120.0,1.0,20,45.0,9,1,50.0,1
19421,249301,2493,0,50,0.0,6.0,84.0,1.0,10,27.0,9,1,63.0,0
19422,249302,2493,1,43,0.0,6.0,70.0,1.0,20,63.0,9,1,27.0,0
19423,249501,2495,0,34,1.0,12.0,150.0,1.0,10,66.0,9,0,0.0,2
19424,249702,2497,1,60,0.0,6.0,100.0,1.0,20,63.0,9,0,0.0,1
19427,250301,2503,0,57,1.0,12.0,412.0,1.0,10,90.0,9,0,0.0,0
19428,250303,6919,1,27,1.0,14.0,120.0,1.0,20,44.0,9,1,70.0,0
19429,250401,2504,0,57,1.0,16.0,300.0,1.0,10,40.0,9,0,0.0,0
19430,250501,2505,0,60,0.0,9.0,132.0,1.0,10,44.0,9,0,0.0,0
19431,250503,6541,0,27,1.0,14.0,333.0,1.0,10,58.0,9,0,0.0,1
19432,250504,6870,0,26,1.0,12.0,220.0,0.0,10,65.0,9,0,0.0,0
19433,250902,2509,1,39,1.0,12.0,100.0,1.0,20,57.0,9,0,0.0,0
19434,251101,2511,0,44,1.0,18.0,330.0,1.0,10,40.0,9,1,50.0,3
19435,251102,2511,1,43,0.0,14.0,85.0,1.0,20,50.0,9,1,40.0,3
19436,251201,2512,0,41,1.0,12.0,358.0,1.0,10,70.0,9,0,0.0,3
19437,251301,2513,0,66,0.0,16.0,50.0,1.0,10,60.0,9,0,0.0,0
19438,251401,2514,0,41,0.0,16.0,400.0,1.0,10,50.0,9,1,40.0,3
19439,251402,2514,1,41,1.0,16.0,350.0,1.0,20,40.0,9,1,50.0,3
19440,251502,2515,1,42,1.0,12.0,150.0,1.0,20,48.0,9,0,0.0,2
19441,251702,6380,1,41,1.0,16.0,400.0,0.0,10,43.0,9,0,0.0,0
19442,251801,2518,0,41,1.0,16.0,250.0,1.0,10,56.0,9,0,0.0,2
19443,252103,6871,0,30,1.0,16.0,160.0,0.0,10,63.0,9,0,0.0,0
19444,252301,2523,0,32,1.0,16.0,250.0,1.0,10,54.0,9,1,51.0,0
19445,252302,2523,1,31,1.0,14.0,120.0,1.0,20,51.0,9,1,54.0,0
19446,252703,5317,0,32,1.0,14.0,165.0,0.0,10,44.0,9,0,0.0,0
19447,252802,2528,1,50,0.0,12.0,90.0,1.0,20,69.0,9,0,0.0,0
19448,252901,2529,0,36,1.0,12.0,183.0,1.0,10,60.0,9,0,0.0,2
19449,253004,6198,0,40,1.0,18.0,100.0,0.0,10,40.0,9,0,0.0,0
19451,253403,6668,1,28,0.0,16.0,100.0,1.0,20,40.0,9,1,94.0,0
19452,253703,5912,0,32,0.0,14.0,150.0,1.0,10,40.0,9,0,0.0,1
19453,253902,2539,1,52,1.0,12.0,77.0,1.0,20,40.0,9,0,0.0,0
19454,254202,2542,1,56,1.0,16.0,375.0,1.0,20,35.0,9,0,0.0,0
19456,254403,6854,0,31,0.0,16.0,130.0,0.0,10,70.0,9,0,0.0,0
19457,254502,2545,0,56,0.0,9.0,150.0,1.0,10,44.0,9,0,0.0,0
19458,254601,2546,0,58,0.0,0.0,70.0,1.0,10,24.0,9,0,0.0,0
19460,255001,2550,0,58,1.0,16.0,498.0,1.0,10,52.0,9,0,0.0,0
19461,255202,2552,1,47,1.0,12.0,95.0,0.0,10,48.0,9,0,0.0,0
19462,255301,2553,0,40,1.0,16.0,350.0,1.0,10,43.0,9,1,35.0,2
19463,255302,2553,1,38,0.0,14.0,50.0,1.0,20,35.0,9,1,43.0,2
19464,255401,2554,0,57,1.0,16.0,40.0,1.0,10,44.0,9,0,0.0,0
19465,255902,2559,0,48,1.0,16.0,350.0,1.0,10,40.0,9,0,0.0,0
19466,256101,2561,0,56,1.0,16.0,550.0,1.0,10,44.0,9,0,0.0,0
19467,256204,5527,0,36,1.0,16.0,170.0,0.0,10,45.0,9,0,0.0,0
19468,256301,2563,0,41,1.0,12.0,350.0,1.0,10,30.0,9,0,0.0,2
19469,256601,2566,0,56,1.0,12.0,150.0,1.0,10,44.0,9,0,0.0,0
19470,256802,6760,0,38,0.0,16.0,120.0,1.0,10,68.0,9,1,60.0,0
19471,257503,5074,0,33,1.0,16.0,200.0,1.0,10,50.0,9,0,0.0,3
19472,257801,2578,0,48,1.0,16.0,300.0,1.0,10,56.0,9,0,0.0,1
19473,258101,2581,0,43,1.0,12.0,140.0,0.0,10,54.0,9,0,0.0,0
19474,258302,2583,0,37,1.0,14.0,160.0,1.0,20,40.0,9,0,0.0,0
