,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
96,20302,203,1,29,1.0,16.0,71.0,1.0,20,31.0,1,1,48.0,0
97,20401,204,0,56,1.0,18.0,300.0,1.0,10,47.0,1,0,0.0,0
99,20601,206,0,49,1.0,12.0,118.0,1.0,10,63.0,1,0,0.0,0
100,20701,207,0,35,1.0,16.0,140.0,1.0,10,60.0,1,0,0.0,2
101,21301,213,0,42,1.0,12.0,106.0,1.0,10,40.0,1,0,0.0,0
102,21501,215,0,56,0.0,6.0,100.0,1.0,10,77.0,1,0,0.0,0
103,21901,219,0,30,1.0,9.0,103.0,1.0,10,60.0,1,1,58.0,1
104,21902,219,1,29,0.0,12.0,70.0,1.0,20,58.0,1,1,60.0,1
106,22201,222,1,55,1.0,6.0,50.0,1.0,10,39.0,1,1,40.0,0
107,22202,222,0,60,0.0,6.0,60.0,1.0,20,40.0,1,1,39.0,0
108,22501,225,0,55,1.0,9.0,50.0,1.0,10,70.0,1,0,0.0,0
109,22601,226,0,72,1.0,16.0,165.0,1.0,10,44.0,1,0,0.0,0
110,22701,227,0,63,0.0,6.0,60.0,1.0,10,84.0,1,0,0.0,0
111,22901,229,0,32,1.0,16.0,200.0,1.0,10,57.0,1,1,44.0,0
112,22902,229,1,28,1.0,16.0,130.0,1.0,20,44.0,1,1,57.0,0
113,23001,230,0,37,1.0,12.0,190.0,1.0,10,44.0,1,0,0.0,1
114,23101,231,0,66,1.0,9.0,80.0,1.0,10,44.0,1,0,0.0,0
115,23201,232,0,45,1.0,18.0,190.0,1.0,10,44.0,1,0,0.0,0
116,23401,234,0,59,1.0,12.0,100.0,1.0,10,54.0,1,0,0.0,0
118,23602,236,1,38,0.0,12.0,70.0,1.0,20,10.0,1,0,0.0,0
120,23801,238,0,33,1.0,12.0,120.0,1.0,10,44.0,1,0,0.0,2
121,23901,239,0,34,0.0,12.0,100.0,0.0,10,67.0,1,0,0.0,0
122,24001,240,0,30,1.0,12.0,95.0,0.0,10,45.0,1,0,0.0,0
124,24401,244,0,41,1.0,12.0,150.0,1.0,10,48.0,1,0,0.0,1
125,24701,247,0,50,1.0,16.0,400.0,1.0,10,60.0,1,0,0.0,0
127,25102,251,1,38,1.0,9.0,70.0,1.0,20,42.0,1,0,0.0,1
128,25201,252,0,31,1.0,16.0,90.0,1.0,10,68.0,1,1,50.0,1
129,25202,252,1,25,0.0,16.0,100.0,1.0,20,50.0,1,1,68.0,1
131,25501,255,0,41,1.0,12.0,100.0,1.0,10,62.0,1,0,0.0,0
132,25602,256,0,45,1.0,14.0,170.0,1.0,10,55.0,1,0,0.0,0
134,26001,260,0,58,0.0,6.0,45.0,1.0,10,48.0,1,1,54.0,0
135,26002,260,1,50,0.0,6.0,50.0,1.0,20,54.0,1,1,48.0,0
137,26102,261,1,39,1.0,9.0,70.0,1.0,20,54.0,1,1,,0
138,26301,263,0,55,0.0,9.0,100.0,1.0,10,54.0,1,1,54.0,0
139,26302,263,1,50,1.0,6.0,60.0,1.0,20,54.0,1,1,54.0,0
140,26401,264,0,30,1.0,14.0,95.0,1.0,10,62.0,1,0,0.0,0
141,26501,265,0,41,1.0,9.0,150.0,1.0,10,42.0,1,0,0.0,1
142,26601,266,0,37,1.0,16.0,140.0,1.0,10,72.0,1,0,0.0,2
143,26801,268,0,41,1.0,9.0,130.0,1.0,10,66.0,1,0,0.0,2
144,27201,272,0,36,1.0,9.0,100.0,1.0,10,47.0,1,1,,2
147,27801,278,0,34,1.0,9.0,180.0,1.0,10,100.0,1,0,0.0,3
148,28602,286,1,45,1.0,6.0,80.0,1.0,20,70.0,1,0,0.0,0
149,28701,287,0,33,1.0,16.0,150.0,1.0,10,51.0,1,1,40.0,1
150,28702,287,1,29,1.0,16.0,95.0,1.0,20,40.0,1,1,51.0,1
152,29201,292,0,38,1.0,18.0,120.0,1.0,10,51.0,1,0,0.0,0
153,29501,295,0,34,1.0,16.0,200.0,0.0,10,52.0,1,0,0.0,0
154,29601,296,0,42,1.0,16.0,200.0,1.0,10,44.0,1,0,0.0,0
155,29802,298,1,55,1.0,6.0,100.0,1.0,20,50.0,1,0,0.0,0
156,30001,300,0,56,1.0,12.0,180.0,1.0,10,56.0,1,0,0.0,0
157,30201,302,0,26,1.0,9.0,100.0,0.0,10,64.0,1,0,0.0,0
158,30501,305,0,28,1.0,14.0,50.0,1.0,10,58.0,1,0,0.0,2
159,30601,306,0,56,0.0,6.0,100.0,1.0,10,70.0,1,0,0.0,0
160,30701,307,0,42,1.0,9.0,150.0,1.0,10,57.0,1,1,10.0,0
161,30702,307,1,42,0.0,9.0,30.0,1.0,20,10.0,1,1,57.0,0
163,31001,310,1,58,0.0,6.0,150.0,0.0,10,54.0,1,0,0.0,0
164,31201,312,1,74,0.0,0.0,20.0,0.0,10,15.0,1,0,0.0,0
165,31302,313,1,38,1.0,16.0,70.0,1.0,20,35.0,1,0,0.0,1
167,31501,315,0,53,1.0,16.0,165.0,1.0,10,46.0,1,1,35.0,0
168,31502,315,1,45,0.0,12.0,50.0,1.0,20,35.0,1,1,46.0,0
170,31801,318,0,64,1.0,12.0,149.0,1.0,10,63.0,1,0,0.0,0
171,31901,319,0,38,0.0,12.0,60.0,1.0,10,40.0,1,1,30.0,2
172,31902,319,1,35,0.0,6.0,60.0,1.0,20,30.0,1,1,40.0,2
174,32202,322,1,43,0.0,6.0,80.0,1.0,20,51.0,1,1,,0
175,32301,323,0,31,1.0,12.0,140.0,1.0,10,56.0,1,0,0.0,2
176,32402,324,1,30,1.0,12.0,73.0,1.0,20,54.0,1,0,0.0,3
177,32602,326,0,28,1.0,12.0,145.0,0.0,10,60.0,1,0,0.0,0
178,32802,328,0,38,1.0,12.0,100.0,1.0,10,40.0,1,0,0.0,1
179,32902,329,1,60,1.0,0.0,75.0,1.0,20,60.0,1,0,0.0,0
180,33002,330,1,41,1.0,9.0,100.0,1.0,20,54.0,1,0,0.0,0
182,33401,334,0,48,0.0,12.0,140.0,1.0,10,77.0,1,1,63.0,0
183,33402,334,1,46,1.0,9.0,100.0,1.0,20,63.0,1,1,77.0,0
184,33502,335,0,42,1.0,6.0,50.0,1.0,10,57.0,1,0,0.0,0
185,33601,336,0,65,1.0,6.0,50.0,1.0,10,90.0,1,0,0.0,1
187,33702,337,1,41,1.0,9.0,80.0,1.0,20,60.0,1,1,,2
190,34701,347,0,32,1.0,12.0,130.0,1.0,10,60.0,1,0,0.0,2
191,34901,349,0,51,1.0,16.0,385.0,1.0,10,44.0,1,0,0.0,0
192,35101,351,0,56,0.0,9.0,77.0,1.0,10,69.0,1,0,0.0,0
193,35201,352,0,23,1.0,12.0,120.0,0.0,10,63.0,1,0,0.0,0
196,36401,364,1,66,1.0,9.0,50.0,0.0,10,5.0,1,0,0.0,0
197,36702,367,1,29,1.0,12.0,80.0,1.0,20,72.0,1,0,0.0,1
198,37001,370,0,56,0.0,6.0,100.0,1.0,10,66.0,1,0,0.0,0
201,37701,377,0,51,1.0,6.0,148.0,1.0,10,83.0,1,0,0.0,0
202,38201,382,0,56,1.0,9.0,60.0,1.0,10,84.0,1,1,40.0,0
203,38202,382,1,50,0.0,6.0,50.0,1.0,20,40.0,1,1,84.0,0
204,38401,384,0,56,1.0,6.0,85.0,1.0,10,96.0,1,0,0.0,0
207,38901,389,0,59,1.0,12.0,160.0,1.0,10,58.0,1,0,0.0,0
208,39101,391,0,53,1.0,6.0,100.0,1.0,10,84.0,1,1,65.0,0
209,39102,391,1,49,0.0,6.0,60.0,1.0,20,65.0,1,1,84.0,0
210,39401,394,0,56,1.0,9.0,115.0,1.0,10,60.0,1,1,60.0,0
211,39402,394,1,52,1.0,6.0,80.0,1.0,20,60.0,1,1,60.0,0
212,39701,397,0,44,1.0,16.0,215.0,1.0,10,56.0,1,0,0.0,0
214,40001,400,0,38,1.0,16.0,134.0,1.0,10,52.0,1,0,0.0,0
215,40101,401,0,48,1.0,12.0,120.0,1.0,10,84.0,1,0,0.0,0
216,40201,402,0,54,1.0,9.0,100.0,1.0,10,48.0,1,0,0.0,0
219,40801,408,0,36,1.0,6.0,60.0,1.0,10,66.0,1,0,0.0,2
220,41001,410,0,54,1.0,18.0,250.0,1.0,10,40.0,1,0,0.0,0
221,41101,411,1,44,1.0,16.0,120.0,0.0,10,50.0,1,0,0.0,0
222,41201,412,0,62,1.0,16.0,266.0,0.0,10,44.0,1,0,0.0,0
223,41302,413,1,62,1.0,9.0,38.0,1.0,20,48.0,1,0,0.0,0
224,41401,414,0,46,1.0,16.0,100.0,1.0,10,48.0,1,0,0.0,2
225,41502,415,1,29,1.0,16.0,135.0,1.0,20,49.0,1,0,0.0,1
226,41701,417,0,28,1.0,12.0,130.0,0.0,10,54.0,1,0,0.0,0
228,42001,420,0,39,0.0,12.0,150.0,1.0,10,60.0,1,0,0.0,1
229,42101,421,0,29,1.0,16.0,190.0,1.0,10,56.0,1,0,0.0,1
230,42201,422,1,38,1.0,12.0,80.0,1.0,20,45.0,1,1,,0
232,42601,426,0,35,0.0,16.0,200.0,1.0,10,54.0,1,0,0.0,2
233,42701,427,0,42,1.0,14.0,260.0,1.0,10,60.0,1,0,0.0,3
234,43301,433,0,60,1.0,6.0,300.0,1.0,10,52.0,1,0,0.0,0
235,43401,434,0,36,1.0,12.0,125.0,1.0,10,63.0,1,1,20.0,0
236,43402,434,1,35,1.0,14.0,20.0,1.0,20,20.0,1,1,63.0,0
237,43501,435,0,29,1.0,12.0,150.0,1.0,10,67.0,1,0,0.0,2
238,43901,439,0,30,1.0,16.0,100.0,1.0,10,49.0,1,0,0.0,1
239,44001,440,0,57,0.0,6.0,90.0,1.0,10,60.0,1,1,54.0,0
240,44002,440,1,56,1.0,6.0,47.0,1.0,20,54.0,1,1,60.0,0
241,44201,442,1,41,1.0,14.0,245.0,0.0,10,40.0,1,0,0.0,0
244,44702,447,1,53,1.0,9.0,50.0,1.0,20,58.0,1,1,,0
245,44801,448,0,62,1.0,12.0,70.0,1.0,10,84.0,1,0,0.0,0
246,45002,450,1,36,0.0,12.0,35.0,1.0,20,69.0,1,0,0.0,2
247,45101,451,0,50,1.0,12.0,300.0,1.0,10,57.0,1,0,0.0,0
248,45601,456,0,44,1.0,16.0,194.0,1.0,10,54.0,1,0,0.0,0
