,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.658021268406345,0.6335312569851724,0.7011959538182944,0.7082160701268545,0.717280583242517,0.7187618218257309,0.726870919047306,0.7459163588257602,0.747155155335327,0.7350517848878854,0.7456434182714257,0.7521743139920573
21,0.645454078360198,0.6313119806692187,0.6703563515484527,0.6803217403110744,0.6900366273462155,0.6880770961084869,0.6964900686209815,0.7190040619616607,0.7177119758066566,0.7154028270699402,0.7263155420004068,0.730623868778025
22,0.6464830744113976,0.6376649545850384,0.6708431225807112,0.6804913540514307,0.6895574994610786,0.689165314734528,0.6971946384135363,0.7192719466511439,0.7179256067140904,0.7153142929377814,0.725464984048458,0.7308548926204432
23,0.6451859772669108,0.6276068205146363,0.6634973027377904,0.6737317159338174,0.6818951318085066,0.6823840875992768,0.6911990604953508,0.7130235320719904,0.7113912434004728,0.7134495549053743,0.7250831188763338,0.7307248213989221
24,0.6593779879106949,0.6384213356902397,0.6957795934246714,0.7045300905992379,0.7118913461868025,0.7104921658161353,0.7180870465208858,0.7403794801016056,0.7391978131931105,0.7280168396916566,0.738945377252434,0.7438330374747142
25,0.6498528663482672,0.6276453114186094,0.6845421136268385,0.690805433878142,0.6985079135741615,0.699172395209574,0.7049954287295245,0.7245174370812967,0.7258974482709126,0.72068408026467,0.7300915331882425,0.7363278021533108
26,0.6323568191386616,0.6296609210154627,0.6190739803016908,0.6322355393450181,0.6392658171342271,0.6386897551982882,0.6440578762917643,0.6676473709086452,0.6652799261961471,0.6833948672635736,0.6949607034066121,0.7003227404127987
31,0.6448683632304781,0.6307429362783346,0.6687465899047096,0.6778691374087311,0.6863983723297075,0.6869325637485941,0.6952333055884282,0.7162233864521724,0.7160313808888987,0.715242300896346,0.7266519955585099,0.7324576219631087
32,0.640453894349702,0.6264926373028695,0.683744243547141,0.6921411973320172,0.7008727909544961,0.6988070695667287,0.7071039563137047,0.7296817607321341,0.7313598699793546,0.7207034802996299,0.7311783800440514,0.7393241200413624
33,0.6235162731190995,0.6237028169540827,0.6504065628682963,0.6606509572869796,0.6703770860155118,0.6704666218376536,0.6812453488556148,0.7045327346181915,0.7042339782182699,0.7058942873924535,0.7173328833213548,0.7259075912201092
