단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
당진시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,69964.76521,70437.42574,71764.66068,74665.98974,75493.97266,73605.48458
전북,66150.27525,67046.90075,67865.51006,68257.97734,70796.77417,74628.89578,76847.90431,75728.5354,75332.93948,74901.22238,74697.09142,74142.02839
전주시,64568.14706,64626.21237,63173.97301,63555.47438,67127.49333,72937.55103,75125.15426,73985.38981,73597.27684,73663.55663,73993.35885,73955.35102
완산구,63537.00878,63793.61892,62909.24678,63455.11609,66615.3375,71915.9788,74111.38211,74568.62273,73649.08766,73407.0456,73701.72193,73886.90265
덕진구,65843.29515,65628.4082,63401.9317,63627.15888,67709.8075,74168.85001,76364.2091,73257.98695,73538.98966,73971.36988,74329.3753,74023.79939
군산시,61380.27682,64448.90081,72630.58217,72387.00432,72740.16,74608.59964,77808.66876,78126.99888,77813.38272,76709.62518,75888.99883,74471.82507
익산시,73588.63913,74077.68993,73182.09514,74078.75843,76374.36167,77998.05452,79319.38804,75545.04639,74957.31099,74163.75315,73898.25985,73824.67686
정읍시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,77006.92739,76167.59839,76200.77079,75625.86606,75083.82733,74254.03481
남원시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,74482.43597,76292.10879,76466.30127,75696.40659,75235.98573,74285.1477
김제시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,78265.86012,77144.02204,76686.49728,75959.3304,75362.78439,74434.4896
전남,49951.10061,50916.53133,53730.76314,54533.4195,55857.375,57830.84945,59294.78439,58826.70605,58111.90252,57835.31178,57951.50595,57627.97433
목포시,56590.86748,56461.48111,54204.84131,53614.6923,54102.636,58062.06775,59804.30471,59361.17037,57714.49598,57511.54163,57971.20395,57676.30778
여수시,44399.61967,46431.46935,53330.93818,52462.10726,54990.9045,55886.51376,57441.98321,57808.67878,57855.34893,57571.31458,57434.43354,57376.64038
순천시,46961.37134,48479.38817,54147.72346,57011.19893,56691.1485,57610.14108,60586.59854,60043.24865,59263.87843,58223.83597,57646.187,57589.30757
나주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,61204.19893,61005.28442,60078.81335,59494.01119,59010.27327,57821.30814
광양시,45200.54919,45251.82021,47019.41556,50368.52285,55394.1675,58818.78218,61662.25256,61407.40519,60647.25561,59558.76522,58749.27481,57797.14141
무안군,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,58064.73027,55889.69737,55566.48851,56699.6257,57926.88345,57579.64088
경북,69042.10572,70211.66663,67369.55357,62949.48657,62258.28433,63028.5639,65692.49525,68283.96195,70526.33312,71431.53632,70829.18282,68765.82644
포항시,66879.35833,68432.36856,65214.37441,60572.79548,60471.949,59763.12414,61559.78492,65523.07398,68711.27358,70791.34249,71142.74044,68794.32215
남구,54876.11034,58046.06912,61516.89516,62463.64364,63479.161,64385.5493,64308.85655,64568.76705,65822.60039,67261.46637,68303.30198,67836.86658
북구,44444.45878,45266.19014,45736.94274,47146.46048,53680.01933,63883.65059,64545.53159,65078.93113,67726.63343,68001.50695,68216.20264,68389.68319
경주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,64569.80595,67275.63765,69761.16096,71102.6294,70829.18282,68902.60581
김천시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,71227.05004,71633.03911,72240.55602,71872.03667,70329.81327,68475.17029
안동시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,67743.67893,68758.11445,70407.70178,70638.6357,70109.16161,68611.94966
구미시,68357.23571,69646.8101,66460.33736,60782.88972,59520.95033,61944.21483,66317.5601,71110.87116,75028.39257,75349.05275,73343.45042,69700.48545
영주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,69527.84462,70096.54493,70105.19185,70139.40197,70178.84109,68532.16169
영천시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,70177.18384,70360.62986,70526.33312,70967.54262,70463.36559,68703.1359
상주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,70917.55191,70846.78623,70532.26469,70104.16194,69348.49405,68178.815
문경시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,67088.27113,67305.6473,68296.06388,69029.3411,69087.19603,68110.42531
경산시,58372.55195,58279.07244,57314.2958,56252.73268,55344.267,56541.05835,61480.89324,65012.90989,68717.20514,71713.45655,70829.18282,68640.44536
칠곡군,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,64375.61105,69628.39436,73468.39041,72400.63709,70852.40931,68788.62301
경남,77608.14447,78218.99142,77723.17276,77960.00722,81642.88533,93241.0651,96844.27739,97979.62015,99497.49162,100523.7682,100372.054,97879.6496
창원시,77150.9686,76985.15922,76043.23607,75730.19928,79732.21,93031.49537,96579.16147,99569.75901,102414.7918,103760.0624,102949.683,99341.379
의창구,82647.23855,82268.74712,81434.21935,82169.8106,85255.96333,95345.49446,98221.16971,102420.1675,104646.6519,105092.6541,103866.1733,100040.1178
성산구,71136.56599,72447.8408,73993.14383,75054.78027,83535.45,99397.17588,100786.8076,102868.4513,105582.8629,108800.7355,109422.3957,103076.0173
마산합포구,76216.29793,73015.0056,70804.11147,69614.41898,70613.48933,83181.71813,88446.08943,94325.68404,99656.31312,101384.5728,100527.53,97935.86996
마산회원구,81905.59769,82159.29426,80969.15213,80791.21565,83752.778,94681.85699,98623.11964,98258.74027,99355.38817,100002.3192,99782.88165,97694.92556
진해구,73971.05641,75393.11767,72711.83618,70280.58567,74851.38533,92603.62385,97058.08054,100610.1158,103710.4409,103437.2607,100625.7254,97486.10707
진주시,88255.26261,89880.69578,88770.89203,87212.32234,88090.28267,87381.84477,90549.91248,91999.68304,92768.47534,92693.75708,93997.53662,95815.55918
통영시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,100256.5757,101625.0981,102481.6641,104612.59,103268.818,97702.95704
사천시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,89010.52976,88929.36173,89190.81202,90740.39279,93465.64493,95711.14994
김해시,80127.69151,79681.6796,78881.09523,79301.59291,82910.632,98288.20273,98212.61758,97861.20555,98143.32933,99381.54668,99692.86921,97510.20151
밀양시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,98204.06546,98605.52587,97733.73704,97039.16493,96771.55637,95992.25175
거제시,56679.64891,60368.22554,67823.88479,75628.42381,82294.86933,91931.2543,100872.3288,103435.1498,108332.9826,110613.3913,108980.5165,100289.0937
양산시,71908.68525,74587.14664,72569.46867,73213.56956,78256.19067,97694.42184,103626.1135,100601.6576,99831.85267,99563.63996,99365.55125,97044.37566
제주,124259.247,119763.3651,114922.4719,116476.8072,118262.504,119996.5594,125662.1435,125306.6467,126011.2102,129236.4374,133104.6566,131111.0157
제주시,127606.3905,121402.4746,116085.3933,117182.1929,118620.016,119651.81,125871.7162,125629.0678,126329.8514,129630.8289,133360.8841,131285.9616
서귀포시,73816.9636,87658.49285,89079.77528,96965.336,103444.248,114670.7759,125184.7833,124431.5038,125146.327,128064.5315,132458.5175,130706.4533
