단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
경기,124513.9048,134440.6866,134169.5101,129285.2814,133992.1194,145174.2207,147940.9118,150344.8429,158641.4519,167355.7777,172517.8581,171740.7501
경부1권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,216492.5839,217716.6579,232941.6901,246440.6292,253403.4091,252664.3666
과천시,202278.4839,201982.2446,186963.9984,186321.6105,202523.3196,219246.1737,218800.0283,228590.1853,252465.8963,257847.4849,263793.2303,257614.4042
안양시,190722.7847,204614.278,199215.7013,187667.6881,190738.4026,211439.0512,213845.8093,213644.6785,227811.8874,246287.3701,255113.4005,253599.1377
만안구,192388.9552,208299.1248,210463.1662,203526.9293,199816.6212,217998.8819,229160.9064,228925.788,234401.0306,249440.1287,255935.928,253747.8513
동안구,190050.9417,202798.1749,193089.8498,178685.6795,185684.302,207881.9598,205249.4476,205053.2493,223942.4241,244316.896,254550.6186,253514.1585
성남시,201767.8832,207825.3588,204914.7516,189136.1363,198762.6855,216266.5322,219365.5784,222884.9394,237784.047,247119.3481,250979.1175,251049.7621
수정구,228587.8549,234172.0133,239435.4307,229640.8343,235267.1845,246247.7304,248570.5864,246779.8516,248485.877,251213.5554,253403.4091,251857.0644
중원구,195264.4432,212563.0189,222237.856,207614.1103,217038.8881,236546.5723,241422.0329,242327.5225,244351.079,250885.1431,254225.9366,253174.2417
분당구,196823.1189,197876.2724,187215.0579,169336.5589,180031.3743,198619.6636,201200.1088,207201.1066,231349.6824,243944.6953,248749.6351,249753.8295
군포시,188868.498,201403.1972,193140.0617,187178.2053,193684.6318,217375.236,221265.8268,213980.2812,226728.4376,243900.907,255091.7551,254045.2784
의왕시,178817.7271,192717.4869,181239.8421,167476.5245,174091.0097,199243.3095,200906.0227,208834.3731,231106.459,244185.5311,253122.0181,253068.0178
경부2권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,163446.3677,166685.9684,176211.0057,186107.8308,189990.3078,188824.5661
안성시,159495.9024,156719.8144,152024.8913,152488.8958,152017.6863,153950.4576,159145.1475,166553.0317,177869.6555,186742.0122,189813.4679,187862.061
용인시,139496.5414,149662.8288,143596.6745,137274.543,145684.3573,166799.6767,169746.9833,171953.584,179988.1289,187766.459,191196.0341,189234.8141
처인구,152949.2054,179415.549,180031.93,173938.0432,174735.8355,182153.5501,182818.6603,181508.4072,182648.5373,187652.6315,191163.8814,189155.9203
기흥구,139217.1092,146867.4024,138860.4643,134402.5385,145862.2598,165461.5738,170671.0735,170109.0877,178920.681,187148.5387,190552.98,189045.4689
수지구,132171.4261,135978.9234,128437.0724,120606.0107,130100.0983,159302.8693,161682.1954,168297.8255,179479.0384,188498.2066,191903.3935,189439.9382
수원시,139556.4197,152438.7068,144883.2828,136383.8581,146271.4355,160332.1792,158674.7016,161983.3336,172515.994,184546.7691,188961.4214,188682.5571
장안구,147540.1966,168468.4246,162205.8787,150307.6266,158404.386,168292.1761,169847.7931,170391.5781,173665.5532,183571.1055,188720.2761,188635.2208
권선구,147001.2916,162486.6031,154318.4104,144109.1866,154881.9165,168360.7968,163866.4088,165622.475,175028.602,185115.9062,189090.0322,188808.7873
팔달구,137839.9077,150835.735,147270.0345,142055.1581,148548.5875,161275.7133,160674.0969,163013.5928,173205.7295,183945.1099,188881.0396,188209.194
영통구,126962.0117,130603.1034,119971.5627,113644.1265,126292.9848,145304.254,142091.4815,149736.5428,168443.2699,185115.9062,189250.7957,188871.9024
서해안권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,127404.7184,130967.4184,138114.3146,145150.5257,149075.1344,148391.9017
부천시,102236.6832,108448.7512,112598.0686,112457.0022,117001.2902,121826.6988,122175.6178,126646.7898,135202.9673,141524.6454,147745.1243,147558.9378
안산시,92643.63958,115426.0675,115418.8971,109793.0947,113118.535,124084.0003,128688.8266,132302.8855,137156.8048,146367.6941,150265.8101,148652.9799
상록구,96339.32033,121232.7966,119370.9953,113917.8548,116706.9297,126314.2683,130145.0318,133363.4034,138411.919,147367.0533,150823.1477,148839.4644
단원구,88947.95883,109650.1434,111422.7235,105639.6903,109488.0888,121786.1485,127179.6685,131189.9963,135862.8727,145265.8364,149708.4726,148404.334
시흥시,92486.37657,105291.246,108763.505,106370.1166,111422.4578,119569.3972,122837.5293,127903.7,134361.9114,144125.5419,149683.139,148578.3862
광명시,110681.7069,114132.2605,115139.7526,110179.7909,109796.4665,121326.5781,121037.1301,122836.7809,132058.7123,138680.3152,143729.7604,146738.4062
화성시,115352.4183,118645.1826,109571.5548,106642.2362,111184.166,125097.7585,127100.2391,132368.3495,144726.3077,150121.6974,150417.8113,149361.6209
오산시,100113.6326,102010.5211,98126.63107,96903.2192,103713.0162,117812.2164,125882.322,128322.67,138230.7685,149301.7103,151139.8168,149224.8656
평택시,128185.08,135018.0021,133445.7539,130259.3524,131579.1435,137168.2391,144402.6047,144741.0588,145023.9121,148327.9757,150683.8133,149125.4073
동부1권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,137296.3746,138895.1812,144057.1518,151375.6641,156475.5923,155151.753
남양주시,98672.53792,109087.0588,119443.1549,115538.9546,120361.7955,132823.4267,134833.0387,137115.8775,143002.0853,150558.648,156250.4857,155229.7318
구리시,104903.2763,114706.4512,115342.432,108097.8686,116346.805,130294.1296,135843.2832,135418.6956,143529.6185,151348.8766,157879.1984,155567.6398
하남시,105330.7148,108539.6108,101581.2044,97632.43785,109987.2945,122112.7717,129837.1723,135788.2433,140513.2106,151616.7508,156488.8339,153982.0715
광주시,128839.8333,137699.266,134924.5359,129492.8623,133080.8165,140156.9755,147149.7179,146286.1349,148033.9407,152956.1213,156065.1038,155151.753
