,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3118,,,0.519788918,0.493074792,0.470744681,0.529745042,0.518404908,0.506024096,0.520766773,0.551155116,0.547794118,0.556420233
3119,,,0.447674419,0.426751592,0.468325792,0.468677494,0.457256461,0.478957916,0.514112903,0.453781513,0.517699115,0.540669856
3120,,,0.541547278,0.521452145,0.432176656,0.504643963,0.486153846,0.493377483,0.481060606,0.528125,0.561904762,0.493630573
3121,,,0.544987147,0.5,0.517751479,0.546052632,0.547619048,0.575835476,0.620418848,0.588235294,0.598187311,0.624203822
3122,,,0.455696203,0.455882353,0.496794872,0.530201342,0.522796353,0.506993007,0.526690391,0.540069686,0.5256917,0.490421456
3123,,,0.54005168,0.511173184,0.513677812,0.587458746,0.487058824,0.477922078,0.47696477,0.539548023,0.531055901,0.588588589
3124,,,0.489035088,0.407572383,0.472164948,0.5,0.463844797,0.476683938,0.453465347,0.439338235,0.452138493,0.509009009
3125,,,0.519607843,0.480295567,0.45,0.505181347,0.498392283,0.511705686,0.54723127,0.516025641,0.561290323,0.543046358
3126,,,0.498591549,0.464071856,0.442724458,0.477777778,0.448753463,0.452173913,0.452307692,0.496575342,0.475694444,0.480916031
3127,,,0.529411765,0.496031746,0.474820144,0.543209877,0.485611511,0.484496124,0.539823009,0.516129032,0.458536585,0.525114155
3128,,,,,,,,,0.486842105,0,0.583783784,0.539772727
3132,,,0.553097345,0.544117647,0.558139535,0.5625,0.564444444,0.517241379,,0.51980198,,
3135,,,0.5,0.45505618,0.580838323,0.601449275,0.555555556,0.510204082,0.472972973,0.523809524,0.531034483,0.484375
3137,,,0.505747126,0.539772727,0.558282209,0.601351351,0.664516129,0.647887324,0.564516129,0.617391304,0.703389831,0.586538462
3138,,,0.445544554,0.472222222,0.521212121,0.593939394,0.520710059,0.480225989,0.568493151,0.620689655,0.532374101,0.491666667
3201,,,0.513353116,0.50304878,0.476038339,0.5,0.581227437,0.503968254,0.518939394,0.560810811,0.584269663,0.596774194
3202,,,0.494318182,0.523668639,0.523648649,0.506493506,0.483108108,0.545138889,0.574712644,0.596551724,0.512,0.533596838
3203,,,0.536277603,0.556313993,0.576208178,0.576642336,0.578947368,0.54893617,0.537037037,0.487309645,0.538461538,0.542857143
3204,,,0.434456929,0.423529412,0.434042553,0.457711443,0.481283422,0.505952381,0.45890411,0.503597122,0.549295775,0.550847458
3205,,,0.595854922,0.509259259,0.470319635,0.568720379,0.668874172,0.642857143,0.641221374,0.654545455,0.652173913,0.657142857
3206,,,0.572052402,0.538071066,0.545454545,0.585,0.538461538,0.529411765,0.546448087,0.494382022,0.487179487,0.509090909
3207,,,0.462962963,0.46,0.446153846,0.488636364,0.589552239,0.585714286,0.617391304,0.526785714,0.548387097,0.515789474
3231,,,0.592417062,0.5,0.526829268,0.578125,0.55721393,0.560846561,0.538461538,0.659863946,0.660130719,0.662162162
3232,,,0.5,0.576923077,0.632653061,0.669230769,0.522875817,0.607407407,0.598130841,0.62962963,0.705882353,0.693181818
3233,,,0.590551181,0.656,0.586206897,0.655737705,0.659090909,0.631578947,0.62037037,0.563218391,0.641975309,0.642857143
3234,,,0.507246377,0.531468531,0.597122302,0.606299213,0.559210526,0.567375887,0.666666667,0.619834711,0.682692308,0.655913978
3235,,,0.589928058,0.544776119,0.597315436,0.647058824,0.624,0.6796875,0.696428571,0.62037037,0.702702703,0.70212766
3236,,,0.458333333,0.504,0.516393443,0.50877193,0.51048951,0.503816794,0.561983471,0.592592593,0.626168224,0.558823529
3237,,,0.512658228,0.631944444,0.664285714,0.666666667,0.641304348,0.596330275,0.52688172,0.490196078,0.548076923,0.523809524
3238,,,0.455782313,0.524822695,0.481481481,0.496296296,0.520833333,0.48951049,0.530201342,0.6,0.601449275,0.561403509
3239,,,0.53164557,0.602739726,0.538961039,0.583333333,0.581395349,0.697247706,0.682692308,0.700934579,0.672897196,0.682242991
3240,,,0.628787879,0.631578947,0.660377358,0.590551181,0.596774194,0.566666667,0.566037736,0.588888889,0.551020408,0.607142857
3241,,,0.554054054,0.62406015,0.543624161,0.507575758,0.637795276,0.687022901,0.641791045,0.589285714,0.528846154,0.677083333
3301,,,0.501108647,0.501043841,0.539351852,0.537712895,0.539295393,0.523341523,0.53626943,,,
3302,,,0.553398058,0.570957096,0.556701031,0.508361204,0.554744526,0.519480519,0.541322314,0.498023715,0.483568075,0.565445026
3303,,,0.430232558,0.442060086,0.456066946,0.484018265,0.53358209,0.504032258,0.482926829,0.554585153,0.551886792,0.5
3304,,,,,,,,,,0.509243697,0.517529215,0.541516245
3331,,,0.430635838,0.429003021,0.498432602,0.45890411,0.408695652,0.421875,0.477564103,,,
3332,,,0.551020408,0.58,0.589285714,0.587155963,0.542857143,0.53,0.536585366,0.641975309,0.675324675,0.563380282
3333,,,0.473053892,0.52,0.458646617,0.480916031,0.454545455,0.426751592,0.536423841,0.492753623,0.552238806,0.537190083
3334,,,0.575757576,0.560283688,0.611570248,0.674418605,0.556451613,0.462025316,0.537815126,0.488372093,0.558823529,0.513513514
3335,,,0.590038314,0.558441558,0.5625,0.601036269,0.538461538,0.60952381,0.567708333,0.612121212,0.543046358,0.545454545
3336,,,0.558139535,0.641304348,0.698630137,0.6875,0.685393258,0.655555556,0.583333333,0.625,0.62295082,0.696428571
3337,,,0.466216216,0.457692308,0.497942387,0.520361991,0.466666667,0.572327044,0.547945205,0.57615894,0.54887218,0.574324324
3338,,,0.563758389,0.565891473,0.623188406,0.642276423,0.660714286,0.64893617,0.643835616,0.688172043,0.590909091,0.735294118
3339,,,0.529411765,0.485714286,0.465437788,0.517412935,0.555066079,0.548387097,0.558035714,0.557894737,0.526946108,0.518292683
3401,,,0.48940678,0.49103139,0.481042654,0.513126492,0.497368421,0.503325942,0.458695652,0.483636364,0.444672131,0.482378855
3402,,,0.503472222,0.53515625,0.42578125,0.495798319,0.538745387,0.532467532,0.531100478,0.504504505,0.526570048,0.564593301
3403,,,0.514450867,0.432432432,0.481481481,0.569620253,0.577777778,0.598930481,0.560509554,0.525925926,0.532786885,0.537735849
3404,,,0.466346154,0.430939227,0.475609756,0.498480243,0.442367601,0.471641791,0.493975904,0.502857143,0.527027027,0.513793103
3405,,,0.436482085,0.426282051,0.446494465,0.419708029,0.421276596,0.439516129,0.434042553,0.451327434,0.467592593,0.426136364
3406,,,0.541125541,0.495327103,0.57591623,0.598930481,0.523584906,0.575,0.519125683,0.544871795,0.532258065,0.5546875
3407,,,0.422764228,0.525,0.52742616,0.570754717,0.492063492,0.416370107,0.449612403,0.481632653,0.47107438,0.413636364
3408,,,,,,,0.461254613,0.463829787,0.430188679,0.398373984,0.468401487,0.440329218
